id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17
20604987-20604987_analysis_0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20604987-20604987_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20604987-20604987_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20604987-20604987_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20604987-20604987_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20604987-20604987_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20729530-20729530_analysis_0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20729530-20729530_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20729530-20729530_analysis_2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21248113-21248113_analysis_0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21790899-21790899_analysis_0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21790899-21790899_analysis_10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21790899-21790899_analysis_11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21790899-21790899_analysis_2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21790899-21790899_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21790899-21790899_analysis_7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21859165-21859165_analysis_0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22114078-22114078_analysis_0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22114078-22114078_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22234380-22234380_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22234380-22234380_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22264344-22264344_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22288977-22288977_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22288977-22288977_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22288977-22288977_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
22476609-22476609_analysis_11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22476609-22476609_analysis_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22890475-22890475_analysis_0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23325372-23325372_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23497788-23497788_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23497788-23497788_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23708507-23708507_analysis_0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23708507-23708507_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24529072-24529072_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26204262-26204262_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26475784-26475784_analysis_0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26475784-26475784_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26475784-26475784_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26478134-26478134_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26478134-26478134_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27005897-27005897_analysis_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27815773-27815773_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28401670-28401670_analysis_0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28401670-28401670_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28801730-28801730_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
