id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19	PositiveTail 20	PositiveTail 21
21616086-21616086_5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21616086-21616086_6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21616086-21616086_7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21782157-21782157_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21782157-21782157_2	1	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21782157-21782157_3	1	3	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
21782157-21782157_4	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21782157-21782157_5	1	3	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
21782157-21782157_6	1	3	1	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0
21982934-21982934_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22483742-22483742_1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
22565203-22565203_1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
22565203-22565203_2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23209583-23209583_1	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
23209583-23209583_2	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
23209583-23209583_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23209583-23209583_4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23209583-23209583_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23209583-23209583_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23372641-23372641_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23372641-23372641_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23522878-23522878_1	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
23555020-23555020_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23555020-23555020_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23883107-23883107_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23883107-23883107_2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23994216-23994216_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24161281-24161281_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24161281-24161281_2	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24221533-24221533_1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
9630492-9630492_1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9630492-9630492_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9630492-9630492_3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
