id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19
18633788-18633788_analysis_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633834-18633834_analysis_0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633834-18633834_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633834-18633834_analysis_3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633834-18633834_analysis_4	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633834-18633834_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633845-18633845_analysis_0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633846-18633846_analysis_0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633846-18633846_analysis_1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633846-18633846_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633856-18633856_analysis_0	0	1	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
18633856-18633856_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19048432-19048432_analysis_0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19048432-19048432_analysis_1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19048432-19048432_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19048432-19048432_analysis_3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19048432-19048432_analysis_4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19048432-19048432_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19048432-19048432_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19107754-19107754_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19107754-19107754_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19107754-19107754_analysis_2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19107754-19107754_analysis_3	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19107754-19107754_analysis_4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19107754-19107754_analysis_5	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19347874-19347874_analysis_0	0	0	5	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
19347874-19347874_analysis_1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
19347874-19347874_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19347874-19347874_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19347874-19347874_analysis_4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19439183-19439183_analysis_0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19439183-19439183_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19439183-19439183_analysis_2	0	3	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19439183-19439183_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19439183-19439183_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19439183-19439183_analysis_5	0	2	1	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
19439183-19439183_analysis_6	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19439183-19439183_analysis_7	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19439183-19439183_analysis_8	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19439183-19439183_analysis_9	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19630891-19630891_analysis_0	1	3	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19630891-19630891_analysis_1	1	2	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
19630891-19630891_analysis_2	1	5	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19630891-19630891_analysis_3	0	4	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19630891-19630891_analysis_4	1	3	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19630891-19630891_analysis_5	1	3	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
