id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11
22483100-22483100_analysis_1	0	0	0	0	0	0	0	0	0	0	0
22483100-22483100_analysis_2	2	0	0	0	0	0	0	0	0	0	0
22542509-22542509_analysis_0	6	1	0	0	1	0	0	0	0	0	0
22542509-22542509_analysis_1	1	0	0	0	0	0	0	0	0	0	0
22542509-22542509_analysis_2	0	0	0	0	0	0	0	0	0	0	0
22580204-22580204_analysis_0	3	0	0	0	0	0	0	0	0	0	0
22580204-22580204_analysis_1	1	0	0	0	0	0	0	0	0	0	0
22580204-22580204_analysis_10	1	0	0	0	0	0	0	0	0	0	0
22580204-22580204_analysis_2	3	0	0	0	0	0	0	0	0	0	0
22580204-22580204_analysis_3	1	0	0	0	0	0	0	0	0	0	0
22580204-22580204_analysis_4	5	0	0	0	0	0	0	0	0	0	0
22580204-22580204_analysis_5	5	0	0	0	0	0	0	0	0	0	0
22580204-22580204_analysis_6	0	0	0	0	0	0	0	0	0	0	0
22580204-22580204_analysis_7	2	0	0	0	0	0	0	0	0	0	0
22580204-22580204_analysis_8	0	0	0	0	0	0	0	0	0	0	0
22580204-22580204_analysis_9	2	0	0	0	0	0	0	0	0	0	0
22591950-22591950_analysis_0	5	0	0	0	0	0	0	0	0	0	0
22591950-22591950_analysis_2	2	0	0	0	0	0	0	0	0	0	0
22606228-22606228_analysis_0	3	0	0	0	0	0	0	0	0	0	0
22606228-22606228_analysis_1	3	0	0	0	0	0	0	0	0	0	0
22606228-22606228_analysis_2	4	0	1	0	0	0	0	0	0	0	0
22698584-22698584_analysis_0	1	0	0	0	0	0	0	0	0	0	0
22759909-22759909_analysis_0	28	2	0	0	0	0	0	0	0	0	0
22759909-22759909_analysis_1	19	0	0	0	0	0	0	0	0	0	0
22860092-22860092_analysis_0	2	0	0	0	0	0	0	0	0	0	0
22860092-22860092_analysis_1	3	0	0	0	0	0	0	0	0	0	0
22860092-22860092_analysis_2	3	0	0	0	0	0	0	0	0	0	0
22860092-22860092_analysis_3	1	0	0	0	0	0	0	0	0	0	0
22890475-22890475_analysis_0	0	0	0	0	0	0	0	0	0	0	0
22890475-22890475_analysis_1	4	0	0	0	0	0	0	0	0	0	0
22890475-22890475_analysis_2	0	0	0	0	0	0	0	0	0	0	0
22890475-22890475_analysis_3	2	0	0	0	0	0	0	0	0	0	0
22913365-22913365_analysis_0	0	0	0	0	0	0	0	0	0	0	0
22921709-22921709_analysis_0	2	0	0	0	0	0	0	0	0	0	0
22928000-22928000_analysis_0	1	0	0	0	0	0	0	0	0	0	0
22957019-22957019_analysis_0	0	0	0	0	0	0	0	0	0	0	0
22957019-22957019_analysis_1	5	0	0	0	0	0	0	0	0	0	0
22957019-22957019_analysis_2	1	0	0	0	0	0	0	0	0	0	0
22960252-22960252_analysis_0	8	0	0	0	0	0	0	0	0	0	0
22960252-22960252_analysis_1	13	0	0	0	0	0	0	0	0	0	0
22974271-22974271_analysis_0	10	0	0	0	0	0	0	0	0	0	0
23128082-23128082_analysis_0	12	0	0	0	0	0	0	0	0	0	0
23128082-23128082_analysis_1	2	0	0	0	0	0	0	0	0	0	0
23128082-23128082_analysis_2	1	0	0	0	0	0	0	0	0	0	0
23131612-23131612_analysis_0	0	0	0	0	0	0	0	0	0	0	0
23131612-23131612_analysis_1	0	0	0	0	0	0	0	0	0	0	0
23154092-23154092_analysis_0	3	0	0	0	0	0	0	0	0	0	0
23154092-23154092_analysis_1	0	0	0	0	0	0	0	0	0	0	0
23155368-23155368_analysis_0	6	0	0	0	0	0	0	0	0	0	0
23155368-23155368_analysis_1	3	0	0	0	0	0	0	0	0	0	0
23221317-23221317_analysis_0	2	0	0	0	0	0	0	0	0	0	0
23221317-23221317_analysis_1	2	1	0	0	0	0	0	0	0	0	0
23221317-23221317_analysis_2	0	0	0	0	0	0	0	0	0	0	0
23221317-23221317_analysis_3	0	0	0	0	0	0	0	0	0	0	0
23221317-23221317_analysis_4	1	0	0	0	0	0	0	0	0	0	0
23221317-23221317_analysis_5	2	0	0	0	0	0	0	0	0	0	0
23245948-23245948_analysis_0	8	0	0	0	0	0	0	0	0	0	0
23245948-23245948_analysis_1	4	0	0	0	0	0	0	0	0	0	0
23245948-23245948_analysis_2	4	0	0	0	0	0	0	0	0	0	0
23245948-23245948_analysis_3	2	0	0	0	0	0	0	0	0	0	0
23245948-23245948_analysis_4	2	0	0	0	0	0	0	0	0	0	0
23261871-23261871_analysis_0	1	0	0	0	0	0	0	0	1	0	0
23261871-23261871_analysis_1	1	0	0	0	0	0	0	0	0	0	0
23261871-23261871_analysis_2	2	0	0	0	0	0	0	0	0	0	0
23261871-23261871_analysis_3	2	0	0	0	0	0	0	0	0	0	0
23364016-23364016_analysis_0	2	0	0	0	0	0	0	0	0	0	0
23364016-23364016_analysis_1	1	0	0	0	0	0	0	0	0	0	0
23364016-23364016_analysis_2	5	0	0	0	0	0	0	0	0	0	0
23364016-23364016_analysis_3	0	0	0	0	0	0	0	0	0	0	0
23364016-23364016_analysis_4	1	0	0	0	0	0	0	0	0	0	0
23364016-23364016_analysis_5	3	0	0	0	0	0	0	0	0	0	0
23364016-23364016_analysis_6	1	0	0	0	0	0	0	0	0	0	0
23364016-23364016_analysis_7	0	0	0	0	0	0	0	0	0	0	0
23382517-23382517_analysis_0	2	0	0	0	0	0	0	0	0	0	0
23382517-23382517_analysis_1	6	0	0	0	0	0	0	0	0	0	0
23408738-23408738_analysis_0	14	0	0	0	0	0	0	0	0	0	0
23497788-23497788_analysis_0	12	0	0	0	0	0	0	0	1	0	0
23497788-23497788_analysis_1	4	0	0	1	0	0	0	0	0	0	0
23567923-23567923_analysis_0	7	0	0	0	0	0	0	0	0	0	0
