pmid,table_id,table_label,x,y,z,p_value,region,size,statistic,groups
22360624,7,Table 1,60.0,-1.0,-4.0,,"Belin et al., 2000",,,Right STS/STG
22360624,7,Table 1,63.0,-13.0,-1.0,,"Belin et al., 2000",,,Right STS/STG
22360624,7,Table 1,63.0,-13.0,-1.0,,"Belin et al., 2002",,,Right STS/STG
22360624,7,Table 1,60.0,-12.0,4.0,,"Gervais et al., 2004",,,Right STS/STG
22360624,7,Table 1,56.0,-20.0,-4.0,,"Gervais et al., 2004",,,Right STS/STG
22360624,7,Table 1,60.0,-9.0,-3.0,,Average of prior studies,,,Right STS/STG
22360624,7,Table 1,54.0,-10.0,-2.0,,Current study,,,Right STS/STG
22360624,7,Table 1,-62.0,-14.0,0.0,,"Belin et al., 2002",,,Left STS/STG
22360624,7,Table 1,-62.0,-14.0,0.0,,"Belin et al., 2000",,,Left STS/STG
22360624,7,Table 1,-64.0,-40.0,12.0,,"Gervais et al., 2004",,,Left STS/STG
22360624,7,Table 1,-64.0,-12.0,4.0,,"Gervais et al., 2004",,,Left STS/STG
22360624,7,Table 1,-63.0,-20.0,4.0,,Average of prior studies,,,Left STS/STG
22360624,7,Table 1,-54.0,-16.0,4.0,,Current study,,,Left STS/STG
22360624,8,Table 2,53.0,-7.0,1.0,,Right anterior STG,,,
22360624,8,Table 2,48.0,-28.0,4.0,,Right middle STS,,,
22360624,8,Table 2,-51.0,-7.0,-2.0,,Left anterior STG,,,
22360624,8,Table 2,-57.0,-22.0,4.0,,Left middle STG,,,
23574585,9,Table 1,54.0,-51.0,16.0,,Right,1218,,Group Mental > Group Physical///TPJ
23574585,9,Table 1,56.0,-57.0,14.0,,Right,891,,Member Mental > Member Physical///TPJ
23574585,9,Table 1,-46.0,-77.0,30.0,,Left,811,,Group Mental > Group Physical///TPJ
23574585,9,Table 1,-42.0,-63.0,28.0,,Left,1471,,Member Mental > Member Physical///TPJ
23574585,9,Table 1,-4.0,53.0,-10.0,,Ventral,1075,,Group Mental > Group Physical///MPFC
23574585,9,Table 1,-4.0,47.0,-8.0,,Ventral,579,,Member Mental > Member Physical///MPFC
