pmid,priority,is_gold,in_included_set,type,reported_by,existing_path
31062381,3,False,False,unavailable,v6,
31190662,3,False,False,unavailable,v6,
31228866,3,False,False,unavailable,v6,
31456251,3,False,False,unavailable,v6,
31573679,3,False,False,unavailable,v6,
31953029,3,False,False,unavailable,v6,
32016814,3,False,False,unavailable,v6,
32176761,3,False,False,unavailable,v6,
32216234,3,False,False,unavailable,v6,
32233273,3,False,False,unavailable,v6,
32252540,3,False,False,unavailable,v6,
32533819,3,False,False,unavailable,v6,
32686948,3,False,False,unavailable,v6,
32705569,3,False,False,unavailable,v6,
32809046,3,False,False,unavailable,v6,
32854531,3,False,False,unavailable,v6,
33460185,3,False,False,unavailable,v6,
8866498,3,False,False,unavailable,v6,
