id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17
30013467-30013467_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30165099-30165099_1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
30243035-30243035_1	1	2	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0
30295396-30295396_1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
30646204-30646204_2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
30734916-30734916_2	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
30788529-30788529_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30886575-30886575_1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
30886575-30886575_2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
31204249-31204249_1	1	0	1	0	2	1	1	2	0	0	0	0	0	0	0	0	0
31394197-31394197_2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
31972520-31972520_1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
31972520-31972520_2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
32678839-32678839_1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
32678839-32678839_2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
