id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8
21440645-21440645_analysis_12	2	0	0	0	0	0	0	0
21440645-21440645_analysis_13	1	0	0	0	0	0	0	0
21440645-21440645_analysis_2	2	0	0	0	0	0	0	0
21440645-21440645_analysis_3	1	0	0	0	0	0	0	0
21440645-21440645_analysis_4	2	0	0	0	0	0	0	0
21440645-21440645_analysis_5	1	0	0	0	0	0	0	0
21440645-21440645_analysis_6	1	0	0	0	0	0	0	0
21440645-21440645_analysis_7	2	0	0	0	0	0	0	0
21440645-21440645_analysis_8	1	0	0	0	0	0	0	0
21440645-21440645_analysis_9	0	0	0	0	0	0	0	0
21464344-21464344_analysis_0	3	0	0	0	0	0	0	0
21464344-21464344_analysis_1	0	0	0	0	0	0	0	0
21464344-21464344_analysis_2	0	0	0	0	0	0	0	0
21466926-21466926_analysis_0	0	1	0	0	0	0	0	0
21466926-21466926_analysis_1	0	1	0	0	0	0	0	0
21466926-21466926_analysis_2	0	0	0	0	0	0	0	0
21466926-21466926_analysis_3	0	0	0	0	0	0	0	0
21466926-21466926_analysis_4	2	1	0	0	0	0	0	0
21466926-21466926_analysis_5	2	1	0	0	0	0	0	0
21466926-21466926_analysis_6	0	0	0	0	0	0	0	0
21466926-21466926_analysis_7	0	0	0	0	0	0	0	0
21593494-21593494_analysis_0	2	0	0	0	0	0	0	0
21593494-21593494_analysis_1	0	0	0	0	0	0	0	0
21593494-21593494_analysis_2	4	0	0	0	0	0	0	0
21593494-21593494_analysis_3	1	0	0	0	0	0	0	0
21764527-21764527_analysis_0	3	0	0	0	0	0	0	0
21764527-21764527_analysis_1	4	0	0	0	0	0	0	0
21790899-21790899_analysis_0	9	0	0	0	0	0	0	0
21790899-21790899_analysis_1	3	0	0	0	0	0	0	0
21790899-21790899_analysis_10	2	0	0	1	0	0	0	0
21790899-21790899_analysis_11	2	0	0	0	0	0	0	0
21790899-21790899_analysis_12	1	0	0	0	0	0	0	0
21790899-21790899_analysis_2	2	0	0	0	0	0	0	0
21790899-21790899_analysis_3	6	0	0	0	0	0	0	0
21790899-21790899_analysis_4	4	0	0	0	0	0	0	0
21790899-21790899_analysis_5	3	0	0	0	0	0	0	0
21790899-21790899_analysis_6	5	0	0	0	0	0	0	0
21790899-21790899_analysis_7	4	0	0	0	0	0	0	0
21790899-21790899_analysis_8	1	0	0	0	0	0	0	0
21859165-21859165_analysis_0	7	0	0	0	0	0	0	0
21859165-21859165_analysis_1	0	0	0	0	0	0	0	0
21859165-21859165_analysis_2	1	0	0	0	0	0	0	0
21859165-21859165_analysis_3	0	0	0	0	0	0	0	0
21859165-21859165_analysis_4	1	0	0	0	0	0	0	0
21859165-21859165_analysis_5	4	0	0	0	0	0	0	0
21859165-21859165_analysis_6	0	0	0	0	0	0	0	0
21859165-21859165_analysis_7	0	0	0	0	0	0	0	0
21859165-21859165_analysis_8	0	0	0	0	0	0	0	0
21993878-21993878_analysis_0	4	0	0	0	0	1	0	0
22006991-22006991_analysis_0	7	0	0	0	0	0	0	0
22006991-22006991_analysis_1	5	0	0	0	0	0	0	0
22006991-22006991_analysis_2	7	1	1	0	1	0	0	0
22006991-22006991_analysis_3	9	0	0	0	0	0	0	0
22006991-22006991_analysis_5	10	0	0	0	0	0	0	0
22006991-22006991_analysis_6	12	0	0	0	0	0	0	0
22006991-22006991_analysis_7	10	2	0	0	0	0	0	0
22028765-22028765_analysis_0	11	0	0	0	0	0	0	0
22097928-22097928_analysis_0	8	0	1	0	0	0	0	0
22114078-22114078_analysis_0	1	0	0	0	0	0	0	0
22114078-22114078_analysis_1	1	0	0	0	0	0	0	0
22114078-22114078_analysis_2	1	0	0	0	0	1	0	0
22155218-22155218_analysis_0	5	0	0	0	0	0	0	0
22155218-22155218_analysis_1	2	0	0	0	0	0	0	0
22209236-22209236_analysis_0	7	0	0	0	0	0	0	0
22209236-22209236_analysis_1	2	0	0	0	0	0	0	0
22209236-22209236_analysis_2	3	0	0	0	0	0	0	0
22230946-22230946_analysis_0	5	0	0	0	0	0	0	1
22234380-22234380_analysis_0	2	1	0	0	0	0	0	0
22234380-22234380_analysis_1	4	0	0	0	0	0	0	0
22264344-22264344_analysis_0	2	0	0	0	0	0	0	0
22264344-22264344_analysis_1	1	0	0	0	0	0	0	0
22264344-22264344_analysis_2	0	0	0	0	0	0	0	0
22264344-22264344_analysis_3	0	0	0	0	0	0	0	0
22264344-22264344_analysis_4	9	0	0	0	0	0	0	0
22264344-22264344_analysis_5	2	0	0	0	0	0	0	0
22281932-22281932_analysis_0	9	0	0	0	0	0	0	1
22281932-22281932_analysis_1	9	0	0	0	0	0	0	0
