pmcid,n_coordinates,licence,article_dir
6052568,30,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/4ea/pmcid_6052568
5542041,37,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/52f/pmcid_5542041
7959336,6,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/590/pmcid_7959336
6933911,4,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/5bb/pmcid_6933911
3938536,15,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/5e1/pmcid_3938536
7267940,16,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/605/pmcid_7267940
2896484,14,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/61b/pmcid_2896484
3898264,3,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/69c/pmcid_3898264
4589805,3,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/709/pmcid_4589805
5289046,4,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/7d5/pmcid_5289046
5989744,3,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/81b/pmcid_5989744
5491625,3,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/855/pmcid_5491625
5928586,13,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/862/pmcid_5928586
6511178,51,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/891/pmcid_6511178
6377408,34,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/8b3/pmcid_6377408
4107997,20,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/930/pmcid_4107997
3580398,22,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/9c8/pmcid_3580398
7066333,6,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/a3a/pmcid_7066333
3689257,6,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/a46/pmcid_3689257
7300115,11,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/a50/pmcid_7300115
6166613,7,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/ac9/pmcid_6166613
3884130,14,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/ad2/pmcid_3884130
4154688,13,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/af6/pmcid_4154688
5390848,3,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/afc/pmcid_5390848
3744869,4,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/b3a/pmcid_3744869
4415904,53,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/c01/pmcid_4415904
6290712,4,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/cf5/pmcid_6290712
4906968,50,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/d00/pmcid_4906968
4067999,26,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/d11/pmcid_4067999
4256921,8,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/db3/pmcid_4256921
4859844,23,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/dd5/pmcid_4859844
4626030,14,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/e07/pmcid_4626030
7029517,3,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/e29/pmcid_7029517
7060303,21,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/ee7/pmcid_7060303
5773553,8,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/ee8/pmcid_5773553
5868210,8,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/f5c/pmcid_5868210
5340748,4,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/fa5/pmcid_5340748
6140291,18,creativecommons.org/licenses/by/,projects/dementia/v1/retrieval/pubget_data/articles/fb2/pmcid_6140291
12950279,8,creativecommons.org/licenses/by/,projects/dementia/v1-allstudies/retrieval/pubget_data/articles/08e/pmcid_12950279
11937067,4,creativecommons.org/licenses/by/,projects/dementia/v1-allstudies/retrieval/pubget_data/articles/255/pmcid_11937067
10636407,4,creativecommons.org/licenses/by/,projects/dementia/v1-allstudies/retrieval/pubget_data/articles/3df/pmcid_10636407
8223632,3,creativecommons.org/licenses/by/,projects/dementia/v1-allstudies/retrieval/pubget_data/articles/c12/pmcid_8223632
3752460,21,creativecommons.org/licenses/by/,projects/dementia/v1-allstudies/retrieval/pubget_data/articles/c8b/pmcid_3752460
12509179,7,creativecommons.org/licenses/by/,projects/dementia/v1-allstudies/retrieval/pubget_data/articles/f1a/pmcid_12509179
11370792,8,creativecommons.org/licenses/by/,projects/dementia/v2-allstudies/retrieval/pubget_data/articles/ff7/pmcid_11370792
11588949,26,creativecommons.org/licenses/by/,projects/dementia/v3-allstudies/retrieval/pubget_data/articles/073/pmcid_11588949
12868039,4,creativecommons.org/licenses/by/,projects/dementia/v3-allstudies/retrieval/pubget_data/articles/4d3/pmcid_12868039
6838035,18,creativecommons.org/licenses/by/,projects/dementia/v3-allstudies/retrieval/pubget_data/articles/5a6/pmcid_6838035
12231792,6,creativecommons.org/licenses/by/,projects/dementia/v3-allstudies/retrieval/pubget_data/articles/746/pmcid_12231792
10037899,6,creativecommons.org/licenses/by/,projects/dementia/v3-allstudies/retrieval/pubget_data/articles/b24/pmcid_10037899
9773257,3,creativecommons.org/licenses/by/,projects/dementia/v3-allstudies/retrieval/pubget_data/articles/d97/pmcid_9773257
6369363,4,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v1-allstudies/retrieval/pubget_data/articles/174/pmcid_6369363
4499672,11,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v1-allstudies/retrieval/pubget_data/articles/22a/pmcid_4499672
3970015,19,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v1-allstudies/retrieval/pubget_data/articles/321/pmcid_3970015
6136767,31,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v1-allstudies/retrieval/pubget_data/articles/563/pmcid_6136767
4105563,15,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v1-allstudies/retrieval/pubget_data/articles/572/pmcid_4105563
6970147,17,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v1-allstudies/retrieval/pubget_data/articles/659/pmcid_6970147
3777837,10,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v1-allstudies/retrieval/pubget_data/articles/7d2/pmcid_3777837
3759791,3,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v1-allstudies/retrieval/pubget_data/articles/a07/pmcid_3759791
5472615,6,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v1-allstudies/retrieval/pubget_data/articles/a0f/pmcid_5472615
3542038,7,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v1-allstudies/retrieval/pubget_data/articles/a92/pmcid_3542038
6411590,32,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v1-allstudies/retrieval/pubget_data/articles/adf/pmcid_6411590
3492343,8,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v1-allstudies/retrieval/pubget_data/articles/b33/pmcid_3492343
5428331,13,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v1-allstudies/retrieval/pubget_data/articles/c00/pmcid_5428331
3989764,36,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v1-allstudies/retrieval/pubget_data/articles/c71/pmcid_3989764
3751506,8,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v1-allstudies/retrieval/pubget_data/articles/d96/pmcid_3751506
3500241,23,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v1-allstudies/retrieval/pubget_data/articles/f12/pmcid_3500241
7025159,9,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v1-allstudies/retrieval/pubget_data/articles/f76/pmcid_7025159
6305346,6,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/006/pmcid_6305346
4370584,30,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/01a/pmcid_4370584
4212807,9,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/08b/pmcid_4212807
3377654,14,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/0cf/pmcid_3377654
6279022,13,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/0d0/pmcid_6279022
4969290,7,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/0e8/pmcid_4969290
6435527,5,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/1e2/pmcid_6435527
6448813,6,creativecommons.org/publicdomain/zero/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/2f3/pmcid_6448813
4047966,38,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/3c5/pmcid_4047966
4249480,30,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/436/pmcid_4249480
6980880,23,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/437/pmcid_6980880
6360180,49,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/494/pmcid_6360180
3585713,32,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/499/pmcid_3585713
5506019,15,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/570/pmcid_5506019
4674054,8,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/5ab/pmcid_4674054
5207406,4,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/736/pmcid_5207406
6066986,19,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/73d/pmcid_6066986
5561271,29,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/78a/pmcid_5561271
4748030,3,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/794/pmcid_4748030
3667546,8,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/7c8/pmcid_3667546
3474750,3,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/806/pmcid_3474750
3835900,14,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/810/pmcid_3835900
4112914,51,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/825/pmcid_4112914
4349185,32,creativecommons.org/licenses/by/,projects/emotion_regulation_2022/v2/retrieval/pubget_data/articles/8bc/pmcid_4349185
